,mean_lower,mean_middle,mean_upper
0,1.6335403726708075,4.261484098939929,8.4625
1,11.296703296703297,22.120343839541547,30.0873786407767
2,2.315315315315315,6.12463768115942,14.0
3,9.23076923076923,19.304347826086957,29.44943820224719
4,10.07865168539326,22.237430167597765,32.56435643564357
5,17.03614457831325,35.52254641909814,49.79545454545455
6,14.483516483516484,30.946236559139784,52.5
7,19.818181818181817,40.58620689655172,62.0
8,30.53488372093023,55.84656084656085,78.8
9,41.024096385542165,82.32114882506528,115.0
10,54.59770114942529,102.45623342175067,146.85714285714286
11,62.666666666666664,113.0997375328084,157.74698795180723
12,74.20930232558139,135.41333333333333,191.5340909090909
13,78.51807228915662,159.4304461942257,218.20238095238096
14,82.1046511627907,162.74734042553192,220.7093023255814
15,67.56470588235294,120.68351063829788,167.88505747126436
16,57.54216867469879,103.92670157068063,141.04819277108433
17,56.329268292682926,101.52380952380952,142.33333333333334
18,51.67816091954023,91.85372340425532,133.08139534883722
19,43.92134831460674,77.48655913978494,109.14942528735632
20,46.81927710843374,78.48031496062993,107.6547619047619
21,43.72093023255814,70.71693121693121,100.26829268292683
22,45.27058823529412,76.07142857142857,107.91566265060241
23,45.57471264367816,71.28533333333333,102.87058823529412
24,48.42391304347826,77.5725806451613,112.38095238095238
25,51.51685393258427,77.02688172043011,106.67816091954023
26,50.48780487804878,80.69736842105263,118.11764705882354
27,52.89772727272727,84.41711229946524,126.4
28,56.21111111111111,91.63733333333333,138.48809523809524
29,60.68674698795181,99.717277486911,142.9047619047619
30,61.94318181818182,99.19251336898395,143.96511627906978
31,59.95180722891566,91.7303664921466,138.08536585365854
32,66.30588235294118,102.29551451187335,154.79268292682926
33,64.40243902439025,104.01566579634465,162.59756097560975
34,69.7764705882353,106.82894736842105,159.03658536585365
35,63.024096385542165,99.23684210526316,147.2093023255814
36,75.48275862068965,127.49867374005305,189.90588235294118
37,80.45882352941176,130.2263157894737,186.0595238095238
38,85.97647058823529,133.0448548812665,193.0705882352941
39,79.73809523809524,124.75725593667546,181.64705882352942
40,89.16867469879519,142.5628272251309,203.95238095238096
41,103.27058823529411,155.26984126984127,218.77380952380952
42,99.8048780487805,157.37958115183247,226.9277108433735
43,95.13793103448276,154.52254641909815,227.57142857142858
44,115.28571428571429,181.27777777777777,254.3953488372093
45,124.0919540229885,194.17962466487936,284.37931034482756
46,124.16470588235295,196.42970822281168,283.81176470588235
47,114.45238095238095,183.7578947368421,278.72289156626505
48,141.5,242.13720316622693,335.2
49,138.9294117647059,233.27586206896552,319.7325581395349
50,113.7560975609756,207.6981627296588,301.3452380952381
51,113.01219512195122,191.79002624671915,269.5542168674699
52,102.95121951219512,186.00263852242745,269.0235294117647
53,92.63855421686748,163.38219895287958,245.27058823529413
54,81.66279069767442,143.598944591029,228.24096385542168
55,70.77011494252874,127.25333333333333,219.43023255813952
56,72.0,126.3342175066313,206.67816091954023
57,64.24705882352941,113.47229551451187,205.12941176470588
58,56.54022988505747,103.80106100795756,187.8
59,56.01176470588236,102.5657894736842,181.44578313253012
60,55.74418604651163,105.76781002638522,179.109756097561
61,50.01123595505618,98.31621621621622,171.91011235955057
62,47.6219512195122,99.84595300261097,187.91463414634146
63,49.63636363636363,105.44504021447722,212.3764705882353
64,53.42168674698795,123.4750656167979,292.0609756097561
65,44.40243902439025,99.52480417754569,345.6219512195122
66,42.69047619047619,93.4514435695538,447.8414634146341
67,38.67368421052632,87.83923705722071,572.939024390244
68,41.03658536585366,94.07894736842105,641.4756097560976
69,36.08045977011494,89.42553191489361,657.219512195122
70,33.67857142857143,88.06366047745358,642.9024390243902
71,27.928571428571427,84.77984084880637,618.3414634146342
72,33.59340659340659,90.94864864864864,490.1219512195122
73,29.290697674418606,79.22911051212938,349.4767441860465
74,27.71764705882353,71.57446808510639,289.0243902439024
75,17.25609756097561,55.03693931398417,206.0609756097561
