,blr,locationid,name,ols
0,0.04915939641165276,1002.0,Andrew Square,0.0543117161132179
1,0.11096934543438436,1004.0,JFK/U Mass,0.09917552625272959
2,0.07158697060843636,1005.0,North Quincy,0.06157308059853413
3,0.08980486244882732,1006.0,Wollaston,0.05349402755067704
4,0.0699006796345843,1007.0,Quincy Center,0.0585909704012283
5,0.05966000035627297,1009.0,South Station,0.05629109798486407
6,0.058079683483684,1010.0,Maverick,0.05241955759342993
7,0.06901042438276636,1011.0,Airport,0.05553775484644534
8,0.09322151931393742,1012.0,Aquarium,0.06772642301353372
9,0.13565534088014938,1013.0,Wood Island,0.09959415609976764
10,0.10989857807291109,1014.0,Orient Heights,0.0753870492215476
11,0.27093581334411243,1015.0,Suffolk Downs,0.14489967414297683
12,0.08478910687276255,1016.0,Beachmont,0.05289339488455887
13,0.09955194458996726,1017.0,Revere Beach,0.06725531513189704
14,0.06581127939778383,1018.0,Wonderland,0.0585642621698023
15,0.12123405357408601,1019.0,Bowdoin,0.09018170473164926
16,0.07418876733064525,1020.0,Braintree,0.061510601271161744
17,0.06617628994659558,1032.0,Alewife,0.057877801840418124
18,0.06458780450662405,1033.0,Davis Square,0.06351022979392837
19,0.06540061927909495,1034.0,Porter Square,0.0614435241227008
20,0.07254013746241386,1035.0,Harvard,0.06676719250553376
21,0.06510904677389269,1036.0,Central Square,0.06068076354265758
22,0.08142922710242419,1037.0,Kendall Square,0.07443719088549289
23,0.06280182320649338,1039.0,Downtown Crossing,0.05752704078244684
24,0.12895601739480791,1040.0,Savin Hill,0.07633127885789928
25,0.08026014428889251,1041.0,Fields Corner,0.06528108029146983
26,0.11794813948561414,1042.0,Shawmut,0.06991170796147436
27,0.07467570839004437,1043.0,Ashmont,0.06390438766696926
28,0.09258046967664513,1051.0,Government Center,0.08644952927870816
29,0.10929536599803225,1052.0,Park Street,0.10812531170430816
30,0.08906913574005665,1053.0,Boylston,0.08206957186172117
31,0.08180277121850364,1054.0,Arlington,0.07742611714347966
32,0.0807453352349056,1055.0,Copley Square,0.08695629082570232
33,0.17320056726956232,1056.0,Symphony,0.0951543444005155
34,0.08493880399467686,1057.0,Hynes,0.08206901858741031
35,0.1376166761112935,1058.0,Prudential,0.10360991096936716
36,0.17864370012129588,1059.0,Kenmore Square,0.08715113872723312
37,0.3864861535912375,1060.0,Science Park,0.16606068974251753
38,0.07582850093412104,1061.0,Lechmere,0.06319687432848592
39,0.07132852702964933,1070.0,Oak Grove,0.05664652327077024
40,0.06937307090318039,1071.0,Malden Center ,0.06068802118438061
41,0.08961477070302337,1072.0,Wellington ,0.08977819723711665
42,0.06435235117639185,1073.0,Sullivan Square,0.05899897701631723
43,0.1864406145810293,1074.0,Community College,0.1739416034702415
44,0.11556636418728755,1075.0,North Station,0.08364460999215342
45,0.06714286789696182,1076.0,Haymarket,0.06983550540163813
46,0.06381029077357722,1077.0,State Street,0.07081740174203849
47,0.07026312057249177,1078.0,Chinatown,0.06311489273884739
48,0.08606299437824011,1079.0,Tufts Medical Center,0.07445658846486736
49,0.06871811317120488,1080.0,Back Bay,0.06300827666264178
50,0.07730376980180675,1081.0,Mass Ave,0.07026135902191027
51,0.09669047274306655,1082.0,Ruggles,0.08091520489616867
52,0.10416139965314669,1083.0,Roxbury Crossing,0.09017691278074012
53,0.07808916252603186,1084.0,Jackson Square,0.06692896646277798
54,0.0900297271866599,1085.0,Stony Brook,0.06318197430206669
55,0.09583032878733828,1086.0,Green Street,0.06729969837062433
56,0.0786609298733028,1087.0,Forest Hills,0.07333858542168578
57,0.19311711301434945,1101.0,Riverside,0.11199847026509978
58,0.08745991408501906,1103.0,Quincy Adams,0.07091969457118373
59,0.08431083340228254,1112.0,Broadway,0.08229766002386744
60,0.061734275472854226,2106.0,Charles MGH,0.06046288343514026
